,Drug Name,Cell Line Name,ic50
0,Lenalidomide,U-87-MG,5.566922
1,Topotecan,no-11,2.516059
2,UMI-77,NMC-G1,3.6810837
3,BX795,GAMG,2.8290567
4,BI-2536,SU-DHL-8,-3.2003136
5,PF-4708671,DK-MG,4.565831
6,5-azacytidine,DOHH-2,0.4019661
7,SL0101,D-263MG,4.6076937
8,GSK2801,SU-DHL-4,3.2485237
9,GSK2830371,SU-DHL-4,3.6467237
10,PF-4708671,SU-DHL-8,3.0752888
11,SGC-CBP30,SU-DHL-4,3.326685
12,123829,MC116,1.9604597
13,150412,D-336MG,3.1911602
14,AZD5438,NMC-G1,6.2977715
15,Niraparib,WSU-DLCL2,1.4856501
16,Fludarabine,MC116,3.375391
17,615590,no-10,3.5568476
18,Acetalax,D-542MG,5.2351856
19,CCT-018159,KALS-1,3.4347448
20,Teniposide,D-566MG,-0.67308426
21,GSK269962A,A4-Fuk,-0.03221512
22,Gallibiscoquinazole,SF295,2.0378876
23,Osimertinib,LNZTA3WT4,2.2271948
24,667880,SU-DHL-4,-0.70914745
25,AZD1332,YKG-1,3.3324385
26,Fludarabine,Hs-683,5.330864
27,Bicalutamide,U-87-MG,4.647726
28,N-acetyl cysteine,CRO-AP2,8.729345
29,Paclitaxel,LNZTA3WT4,-2.3806138
30,Piperlongumine,KINGS-1,4.826535
31,AZD6482,LN-405,4.4033012
32,Vinblastine,KNS-42,-3.0280738
33,Rucaparib,U-87-MG,4.5443163
34,Daporinad,42-MG-BA,-4.257557
35,5-azacytidine,CTB-1,1.7077122
36,Gallibiscoquinazole,no-11,3.3047361
37,Elesclomol,SK-MG-1,-0.5567646
38,MIM1,D-247MG,4.3204603
39,glutathione,SNB75,9.472252
40,SB505124,KARPAS-1106P,2.9036026
41,Vinblastine,CTB-1,-6.190357
42,IOX2,KARPAS-422,1.7310095
43,GSK2606414,MOG-G-UVW,4.2869196
44,AZD5153,SU-DHL-16,-2.1868138
45,UNC0379,Farage,0.03008461
46,POMHEX,NMC-G1,5.3689537
47,Sinularin,no-11,4.2857084
48,Cytarabine,SNB75,3.4859982
49,776928,JM1,2.9048862
50,SB505124,LN-229,5.2463427
51,615590,KNS-42,4.2090654
52,Dihydrorotenone,MC116,0.585577
53,ICL-SIRT078,SF295,4.415167
